sku_id,product_name,category,launch_date,week_start,time_index,year,month,quarter,week,season,is_holiday,promo_event,demand,revenue,avg_unit_price,store_count,active_days,unit_cost,list_price
SKU001,Clear Plastic Storage Bin,Storage & Organizers,2023-01-02,2023-01-02,105,2023,1,1,1,Winter,False,New Year Sale | No Promotion,652,539030.1,829.257142857143,5,7,729,907
SKU001,Clear Plastic Storage Bin,Storage & Organizers,2023-01-02,2023-01-09,106,2023,1,1,2,Winter,False,No Promotion,436,395452.0,907.0,5,7,729,907
SKU001,Clear Plastic Storage Bin,Storage & Organizers,2023-01-02,2023-01-16,107,2023,1,1,3,Winter,False,No Promotion,533,483431.0,907.0,5,7,729,907
SKU001,Clear Plastic Storage Bin,Storage & Organizers,2023-01-02,2023-01-23,108,2023,1,1,4,Winter,True,No Promotion,539,488873.0,907.0,5,7,729,907
SKU001,Clear Plastic Storage Bin,Storage & Organizers,2023-01-02,2023-01-30,109,2023,1,1,5,Winter,False,No Promotion,480,435360.0,907.0,5,7,729,907
SKU001,Clear Plastic Storage Bin,Storage & Organizers,2023-01-02,2023-02-06,110,2023,2,1,6,Winter,False,No Promotion,485,439895.0,907.0,5,7,729,907
SKU001,Clear Plastic Storage Bin,Storage & Organizers,2023-01-02,2023-02-13,111,2023,2,1,7,Winter,False,No Promotion,525,476175.0,907.0,5,7,729,907
SKU001,Clear Plastic Storage Bin,Storage & Organizers,2023-01-02,2023-02-20,112,2023,2,1,8,Winter,False,No Promotion,472,428104.0,907.0,5,7,729,907
SKU001,Clear Plastic Storage Bin,Storage & Organizers,2023-01-02,2023-02-27,113,2023,2,1,9,Winter,False,End of Season Sale | No Promotion,635,531683.4,842.2142857142857,5,7,729,907
SKU001,Clear Plastic Storage Bin,Storage & Organizers,2023-01-02,2023-03-06,114,2023,3,1,10,Summer,False,End of Season Sale | No Promotion,529,465653.8,881.0857142857143,5,7,729,907
SKU001,Clear Plastic Storage Bin,Storage & Organizers,2023-01-02,2023-03-13,115,2023,3,1,11,Summer,False,No Promotion,501,454407.0,907.0,5,7,729,907
SKU001,Clear Plastic Storage Bin,Storage & Organizers,2023-01-02,2023-03-20,116,2023,3,1,12,Summer,False,No Promotion,498,451686.0,907.0,5,7,729,907
SKU001,Clear Plastic Storage Bin,Storage & Organizers,2023-01-02,2023-03-27,117,2023,3,1,13,Summer,False,No Promotion,483,438081.0,907.0,5,7,729,907
SKU001,Clear Plastic Storage Bin,Storage & Organizers,2023-01-02,2023-04-03,118,2023,4,2,14,Summer,False,No Promotion,526,477082.0,907.0,5,7,729,907
SKU001,Clear Plastic Storage Bin,Storage & Organizers,2023-01-02,2023-04-10,119,2023,4,2,15,Summer,True,No Promotion,485,439895.0,907.0,5,7,729,907
SKU001,Clear Plastic Storage Bin,Storage & Organizers,2023-01-02,2023-04-17,120,2023,4,2,16,Summer,False,No Promotion,475,430825.0,907.0,5,7,729,907
